datetime,open,high,low,close,volume
2025-05-13 13:30:00,211.71001,213.39999,211.7099,212.84,13481416.0
2025-05-14 09:30:00,212.425,213.94,210.58009,210.96001,24367256.0
2025-05-14 13:30:00,210.97,212.60001,210.96001,212.41,13205113.0
2025-05-15 09:30:00,210.995,212.96001,209.53999,212.1201,22264230.0
2025-05-15 13:30:00,212.13,212.13,210.14999,211.45799,13156310.0
2025-05-16 09:30:00,212.32001,212.57001,209.77,211.11,29735931.0
2025-05-16 13:30:00,211.11,211.92999,210.73,211.19,11093541.0
2025-05-19 09:30:00,208.024994,209.48,204.25999,208.92999,26891591.0
2025-05-19 13:30:00,208.92999,209.2,207.78,208.75999,9855357.0
2025-05-20 09:30:00,208.044998,208.47,206.47,207.38,20579461.0
2025-05-20 13:30:00,207.37,207.405,205.029999,206.87,12775925.0
2025-05-21 09:30:00,205.12,207.039993,202.020004,202.10001,29191085.0
2025-05-21 13:30:00,202.089996,203.345,200.72,202.059998,20798975.0
2025-05-22 09:30:00,200.715,202.4099,199.7,201.89,26282200.0
2025-05-22 13:30:00,201.88,202.72,201.0,201.37,14329672.0
2025-05-23 09:30:00,193.66499,197.7,193.46001,196.62,48754950.0
2025-05-23 13:30:00,196.60001,196.60001,195.029999,195.34,21721071.0
2025-05-27 09:30:00,198.3,200.64999,197.42999,199.9599,31506394.0
2025-05-27 13:30:00,199.955,200.74001,199.81,200.2,14572413.0
2025-05-28 09:30:00,200.67999,202.73,199.89999,201.11,21748402.0
2025-05-28 13:30:00,201.12,201.5211,200.19501,200.42,10905727.0
2025-05-29 09:30:00,203.27,203.78,198.50999,199.97501,28320369.0
2025-05-29 13:30:00,199.96001,200.248,198.57001,199.95,14602616.0
2025-05-30 09:30:00,199.405,199.57001,196.78,198.085007,20991949.0
2025-05-30 13:30:00,198.080002,201.95,197.95,200.66,22382917.0
2025-06-02 09:30:00,201.625,202.13,200.12,200.86011,19132526.0
2025-06-02 13:30:00,200.86,201.80991,200.58009,201.8,9583187.0
2025-06-03 09:30:00,202.13499,203.74001,200.955,203.31461,23118120.0
2025-06-03 13:30:00,203.33501,203.77,202.5,203.34,10365846.0
2025-06-04 09:30:00,202.91,206.24001,202.14999,203.41499,26847157.0
2025-06-04 13:30:00,203.412,203.47,202.75999,202.88699,9267087.0
2025-06-05 09:30:00,203.595,204.75,201.27,202.6001,25166807.0
2025-06-05 13:30:00,202.60001,202.89999,200.15961,200.55,14170583.0
2025-06-06 09:30:00,202.995,205.7,202.050003,203.59,24152596.0
2025-06-06 13:30:00,203.60001,205.47,203.59,203.92999,14460310.0
